"Location","Per Capita Private Health Insurance Spending"
"United States","$4239"
"Alabama","$3521"
"Alaska","$5709"
"Arizona","$4064"
"Arkansas","$3463"
"California","$4499"
"Colorado","$4037"
"Connecticut","$4978"
"Delaware","$4971"
"District of Columbia","$8904"
"Florida","$4195"
"Georgia","$3946"
"Hawaii","$3893"
"Idaho","$3036"
"Illinois","$4326"
"Indiana","$3872"
"Iowa","$3779"
"Kansas","$3802"
"Kentucky","$4548"
"Louisiana","$3779"
"Maine","$4522"
"Maryland","$4220"
"Massachusetts","$5063"
"Michigan","$3952"
"Minnesota","$4452"
"Mississippi","$3736"
"Missouri","$4036"
"Montana","$3659"
"Nebraska","$4137"
"Nevada","$3972"
"New Hampshire","$5007"
"New Jersey","$4442"
"New Mexico","$4095"
"New York","$5100"
"North Carolina","$3782"
"North Dakota","$4218"
"Ohio","$4126"
"Oklahoma","$3426"
"Oregon","$4215"
"Pennsylvania","$4304"
"Rhode Island","$4731"
"South Carolina","$4006"
"South Dakota","$3962"
"Tennessee","$4028"
"Texas","$4093"
"Utah","$3296"
"Vermont","$4770"
"Virginia","$3586"
"Washington","$4098"
"West Virginia","$3972"
"Wisconsin","$5036"
"Wyoming","$4315"
