"Location","Per Capita Private Health Insurance Spending"
"United States","$4063"
"Alabama","$3433"
"Alaska","$5323"
"Arizona","$3738"
"Arkansas","$3293"
"California","$4092"
"Colorado","$3593"
"Connecticut","$4727"
"Delaware","$4301"
"District of Columbia","$8164"
"Florida","$4198"
"Georgia","$3735"
"Hawaii","$3666"
"Idaho","$3127"
"Illinois","$4242"
"Indiana","$3743"
"Iowa","$3898"
"Kansas","$3682"
"Kentucky","$4089"
"Louisiana","$3729"
"Maine","$4302"
"Maryland","$3987"
"Massachusetts","$4832"
"Michigan","$4191"
"Minnesota","$3946"
"Mississippi","$3747"
"Missouri","$3578"
"Montana","$3145"
"Nebraska","$4029"
"Nevada","$3893"
"New Hampshire","$4567"
"New Jersey","$4053"
"New Mexico","$3712"
"New York","$4922"
"North Carolina","$3660"
"North Dakota","$3842"
"Ohio","$4107"
"Oklahoma","$3540"
"Oregon","$4242"
"Pennsylvania","$3896"
"Rhode Island","$4942"
"South Carolina","$3649"
"South Dakota","$3567"
"Tennessee","$3912"
"Texas","$4150"
"Utah","$3141"
"Vermont","$4207"
"Virginia","$3625"
"Washington","$4279"
"West Virginia","$3452"
"Wisconsin","$4749"
"Wyoming","$4117"
